path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Presupuesto para las TIC en la Administración Pública Estatal/Presupuesto TIC.xlsx,OK,14.0,14.0,6,0.2041,
datasets_sonora_xlsx/Presupuesto para las TIC en la Administración Pública Estatal/Diccionario.xlsx,OK,14.0,9.0,3,0.2619,
datasets_sonora_xlsx/Personal Sindicalizado y de Confianza/Personal Sindicalizado y de Confianza.xlsx,OK,231.0,6.0,0,0.0,
datasets_sonora_xlsx/Indice de marginación urbana en Areas Geoestadísticas Básicas AGEB/Indice de marginación urbana en Areas Geoestadísticas Básicas AGEB 2020.xlsx,OK,2096.0,23.0,0,0.0,
datasets_sonora_xlsx/Indice de marginación urbana en Areas Geoestadísticas Básicas AGEB/Diccionario.xlsx,OK,23.0,9.0,3,0.1449,
datasets_sonora_xlsx/Indice de marginación urbana en Areas Geoestadísticas Básicas AGEB/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Población - Reingreso/Población - Reingreso - 2021 - 2022.xlsx,OK,33.0,6.0,5,0.4091,
datasets_sonora_xlsx/Información General del Entorno Digital en la Administración Pública Estatal/Información General.xlsx,OK,14.0,23.0,13,0.2764,
datasets_sonora_xlsx/Información General del Entorno Digital en la Administración Pública Estatal/Diccionario.xlsx,OK,23.0,9.0,3,0.2754,
datasets_sonora_xlsx/Politica Digital en la Administración Pública Estatal/Diccionario.xlsx,OK,21.0,9.0,5,0.3386,
datasets_sonora_xlsx/Politica Digital en la Administración Pública Estatal/Politica Digital.xlsx,OK,14.0,21.0,9,0.3061,
datasets_sonora_xlsx/Cuerpos de Agua en el Estado de Sonora: Ubicación de las Presas/Catálogo de presas.xlsx,OK,9.0,17.0,0,0.0,
datasets_sonora_xlsx/Cuerpos de Agua en el Estado de Sonora: Ubicación de las Presas/Diccionario.xlsx,OK,5.0,5.0,5,0.28,
datasets_sonora_xlsx/Indice de marginación urbana por colonia/Diccionario.xlsx,OK,28.0,9.0,3,0.1667,
datasets_sonora_xlsx/Indice de marginación urbana por colonia/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Indice de marginación urbana por colonia/Indice de marginación urbana por colonia  2020.xlsx,OK,2129.0,28.0,0,0.0,
datasets_sonora_xlsx/Información Sobre Nacimientos/Información sobre Nacimientos - 2022.xlsx,OK,23283.0,106.0,8,0.0277,
datasets_sonora_xlsx/Inspección y vigilancia/Inspección y Vigilancia 2do Trim - 2022.xlsx,OK,35.0,4.0,1,0.0072,
datasets_sonora_xlsx/Relación de Titulados - Posgrado/Titulados 2020 - 2021.xlsx,OK,20.0,7.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2022.xlsx,OK,115.0,20.0,3,0.0987,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2001.xlsx,OK,403.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2000.xlsx,OK,408.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2018.xlsx,OK,1402.0,16.0,1,0.0074,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2021.xlsx,OK,1509.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2011.xlsx,OK,1141.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2010.xlsx,OK,1143.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2012.xlsx,OK,1116.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2003.xlsx,OK,1122.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2015.xlsx,OK,1118.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2013.xlsx,OK,1127.0,16.0,0,0.0,
